#SAO J-BAND FILTER, 1250WB160, (AMBIENT 23-C)
#Wavelength (nm), % Transmission
#wl	transmission
#--	------------
1816	0.0190
1814	0.0161
1812	0.0237
1810	0.0181
1808	0.0298
1806	0.0217
1804	0.0291
1802	0.0228
1800	0.0281
1798	0.0277
1796	0.0254
1794	0.0255
1792	0.0219
1790	0.0248
1788	0.0169
1786	0.0264
1784	0.0235
1782	0.0214
1780	0.0204
1778	0.0255
1776	0.0205
1774	0.0249
1772	0.0197
1770	0.0176
1768	0.0224
1766	0.0216
1764	0.0219
1762	0.0182
1760	0.0172
1758	0.0206
1756	0.0222
1754	0.0228
1752	0.0239
1750	0.0147
1748	0.0216
1746	0.0189
1744	0.0176
1742	0.0187
1740	0.0253
1738	0.0241
1736	0.0174
1734	0.0223
1732	0.0250
1730	0.0154
1728	0.0149
1726	0.0231
1724	0.0181
1722	0.0219
1720	0.0176
1718	0.0182
1716	0.0191
1714	0.0206
1712	0.0194
1710	0.0234
1708	0.0109
1706	0.0197
1704	0.0223
1702	0.0157
1700	0.0240
1698	0.0167
1696	0.0209
1694	0.0200
1692	0.0186
1690	0.0261
1688	0.0189
1686	0.0226
1684	0.0208
1682	0.0227
1680	0.0211
1678	0.0232
1676	0.0164
1674	0.0204
1672	0.0220
1670	0.0266
1668	0.0199
1666	0.0221
1664	0.0240
1662	0.0168
1660	0.0157
1658	0.0135
1656	0.0166
1654	0.0185
1652	0.0172
1650	0.0220
1648	0.0183
1646	0.0221
1644	0.0157
1642	0.0192
1640	0.0173
1638	0.0232
1636	0.0190
1634	0.0166
1632	0.0117
1630	0.0148
1628	0.0137
1626	0.0209
1624	0.0212
1622	0.0154
1620	0.0229
1618	0.0226
1616	0.0192
1614	0.0195
1612	0.0185
1610	0.0171
1608	0.0228
1606	0.0174
1604	0.0196
1602	0.0194
1600	0.0173
1598	0.0210
1596	0.0151
1594	0.0171
1592	0.0190
1590	0.0246
1588	0.0199
1586	0.0199
1584	0.0226
1582	0.0220
1580	0.0205
1578	0.0221
1576	0.0191
1574	0.0206
1572	0.0186
1570	0.0174
1568	0.0220
1566	0.0183
1564	0.0271
1562	0.0263
1560	0.0242
1558	0.0304
1556	0.0232
1554	0.0304
1552	0.0278
1550	0.0254
1548	0.0276
1546	0.0281
1544	0.0268
1542	0.0322
1540	0.0287
1538	0.0344
1536	0.0293
1534	0.0237
1532	0.0326
1530	0.0345
1528	0.0307
1526	0.0295
1524	0.0321
1522	0.0402
1520	0.0378
1518	0.0360
1516	0.0339
1514	0.0342
1512	0.0312
1510	0.0296
1508	0.0254
1506	0.0337
1504	0.0249
1502	0.0277
1500	0.0305
1498	0.0282
1496	0.0342
1494	0.0312
1492	0.0288
1490	0.0344
1488	0.0240
1486	0.0246
1484	0.0311
1482	0.0354
1480	0.0346
1478	0.0309
1476	0.0277
1474	0.0274
1472	0.0271
1470	0.0285
1468	0.0311
1466	0.0290
1464	0.0254
1462	0.0335
1460	0.0289
1458	0.0250
1456	0.0268
1454	0.0266
1452	0.0310
1450	0.0348
1448	0.0265
1446	0.0274
1444	0.0284
1442	0.0307
1440	0.0238
1438	0.0351
1436	0.0306
1434	0.0375
1432	0.0336
1430	0.0244
1428	0.0196
1426	0.0291
1424	0.0322
1422	0.0286
1420	0.0356
1418	0.0269
1416	0.0295
1414	0.0296
1412	0.0265
1410	0.0308
1408	0.0279
1406	0.0257
1404	0.0319
1402	0.0305
1400	0.0346
1398	0.0327
1396	0.0349
1394	0.0368
1392	0.0324
1390	0.0382
1388	0.0461
1386	0.0590
1384	0.0542
1382	0.0617
1380	0.0705
1378	0.0890
1376	0.1028
1374	0.1216
1372	0.1531
1370	0.1885
1368	0.2272
1366	0.2718
1364	0.3332
1362	0.4063
1360	0.4856
1358	0.5736
1356	0.6856
1354	0.8201
1352	0.9977
1350	1.2211
1348	1.5124
1346	1.9264
1344	2.4888
1342	3.2723
1340	4.4570
1338	6.1710
1336	8.7502
1334	12.7725
1332	18.7544
1330	27.6557
1328	39.9094
1326	54.1889
1324	68.9524
1322	80.2397
1320	86.9434
1318	89.9771
1316	90.7114
1314	90.5978
1312	90.2487
1310	89.9113
1308	89.6406
1306	89.4370
1304	89.2712
1302	89.0584
1300	88.8283
1298	88.6755
1296	88.5923
1294	88.6040
1292	88.6770
1290	88.8268
1288	89.0136
1286	89.2532
1284	89.4690
1282	89.6468
1280	89.7292
1278	89.7001
1276	89.5899
1274	89.3591
1272	89.0310
1270	88.6560
1268	88.2321
1266	87.8618
1264	87.5668
1262	87.3764
1260	87.3107
1258	87.3524
1256	87.5246
1254	87.7743
1252	88.0362
1250	88.2672
1248	88.4337
1246	88.5684
1244	88.5961
1242	88.5566
1240	88.4351
1238	88.2846
1236	88.0580
1234	87.8526
1232	87.5949
1230	87.3474
1228	87.1873
1226	86.9971
1224	86.9842
1222	86.9539
1220	86.9316
1218	86.9880
1216	86.9803
1214	86.9411
1212	86.8635
1210	86.6743
1208	86.5706
1206	86.4148
1204	86.3677
1202	86.4056
1200	86.4237
1198	86.4196
1196	86.2966
1194	85.9981
1192	85.6153
1190	85.3019
1188	85.1736
1186	85.3158
1184	85.3701
1182	84.5328
1180	81.5913
1178	75.2554
1176	65.6935
1174	54.8805
1172	44.3059
1170	35.5625
1168	28.9177
1166	23.5865
1164	19.1207
1162	14.9444
1160	10.8201
1158	7.2791
1156	4.5719
1154	2.8116
1152	1.7735
1150	1.1302
1148	0.7663
1146	0.5501
1144	0.4052
1142	0.3284
1140	0.2659
1138	0.2296
1136	0.2073
1134	0.1886
1132	0.1753
1130	0.1670
1128	0.1463
1126	0.1207
1124	0.0971
1122	0.0752
1120	0.0555
1118	0.0478
1116	0.0442
1114	0.0364
1112	0.0355
1110	0.0410
