#Oct 10, 2006	Omega Optical
#Room temperature transmission scans of SWIRC Y-band filter witness sample
#at 15 deg angle of incidence with respect to the normal.
#wl	transmission
#--	-
2348	0.0223
2347	0.0145
2346	0.0236
2345	0.0142
2344	0.0241
2343	0.0177
2342	0.0294
2341	-0.0059
2340	0.0104
2339	0.0004
2338	0.0179
2337	0.0111
2336	-0.0059
2335	0.0053
2334	0.0027
2333	-0.0000
2332	0.0118
2331	0.0104
2330	0.0027
2329	0.0046
2328	0.0079
2327	0.0050
2326	0.0150
2325	-0.0026
2324	0.0125
2323	0.0084
2322	0.0118
2321	-0.0079
2320	0.0099
2319	0.0272
2318	0.0163
2317	0.0092
2316	0.0084
2315	0.0088
2314	0.0143
2313	0.0152
2312	0.0273
2311	0.0090
2310	0.0038
2309	0.0049
2308	-0.0023
2307	-0.0036
2306	0.0278
2305	0.0034
2304	-0.0018
2303	0.0053
2302	0.0054
2301	0.0074
2300	-0.0002
2299	0.0014
2298	0.0040
2297	-0.0047
2296	0.0012
2295	0.0171
2294	0.0096
2293	-0.0033
2292	-0.0045
2291	0.0134
2290	-0.0081
2289	0.0109
2288	-0.0006
2287	0.0157
2286	0.0068
2285	0.0091
2284	0.0141
2283	0.0156
2282	-0.0095
2281	0.0050
2280	0.0156
2279	-0.0028
2278	0.0221
2277	0.0089
2276	0.0206
2275	0.0071
2274	0.0414
2273	0.0146
2272	0.0051
2271	0.0089
2270	0.0111
2269	0.0161
2268	0.0045
2267	0.0119
2266	0.0072
2265	-0.0048
2264	-0.0020
2263	-0.0041
2262	0.0168
2261	0.0028
2260	0.0102
2259	0.0122
2258	0.0205
2257	-0.0010
2256	-0.0052
2255	0.0042
2254	0.0020
2253	0.0001
2252	0.0133
2251	0.0012
2250	-0.0008
2249	0.0148
2248	0.0076
2247	0.0085
2246	0.0098
2245	0.0067
2244	0.0040
2243	0.0001
2242	0.0039
2241	0.0014
2240	0.0093
2239	-0.0072
2238	0.0099
2237	0.0138
2236	0.0028
2235	-0.0117
2234	-0.0047
2233	-0.0059
2232	-0.0007
2231	0.0152
2230	0.0113
2229	0.0068
2228	0.0172
2227	-0.0001
2226	-0.0035
2225	0.0098
2224	-0.0143
2223	0.0116
2222	-0.0013
2221	0.0008
2220	-0.0044
2219	0.0046
2218	-0.0046
2217	0.0067
2216	-0.0007
2215	-0.0039
2214	-0.0084
2213	0.0032
2212	0.0013
2211	0.0018
2210	0.0097
2209	0.0091
2208	-0.0039
2207	0.0019
2206	-0.0052
2205	-0.0012
2204	0.0038
2203	0.0063
2202	0.0032
2201	0.0071
2200	0.0052
2199	0.0046
2198	0.0149
2197	-0.0006
2196	0.0129
2195	0.0106
2194	0.0149
2193	0.0046
2192	0.0006
2191	0.0117
2190	-0.0069
2189	-0.0099
2188	-0.0035
2187	0.0026
2186	0.0087
2185	0.0001
2184	0.0014
2183	0.0111
2182	0.0023
