#SAO H-BAND FILTER, 1650WB290, (AMBIENT 23-C)
#Wavelength (nm), % Transmission
#wl	transmission
#--	------------
2436	0.0003148756514
2434	0.0003038796422
2432	0.0002940793347
2430	0.0002851490863
2428	-0.0005863219267
2426	0.0004531627346
2424	0.0001241495047
2422	0.002321755048
2420	0.0009635198512
2418	-0.001136806794
2416	8.24975541E-6
2414	-0.0009079577285
2412	0.0008721742197
2410	-0.0003637845221
2408	-3.365190787E-5
2406	0.0004524563847
2404	0.0008927603485
2402	0.0005509571638
2400	-0.0001431910496
2398	8.56996412E-5
2396	0.0002246130607
2394	0.0001483022788
2392	0.0003489088849
2390	0.0001909156417
2388	-0.0002559293644
2386	0.0005698255845
2384	0.001031829859
2382	0.00156022911
2380	0.0002536660759
2378	2.139906064E-5
2376	-1.879411343E-6
2374	0.0002944071312
2372	-7.292586361E-6
2370	0.0004981824313
2368	0.0005503658904
2366	0.0004197933013
2364	0.001148408512
2362	0.0008535021916
2360	-2.212927029E-5
2358	1.631139639E-5
2356	0.0005495211808
2354	0.000375734875
2352	0.0003702612303
2350	-0.0002545329044
2348	0.0003291368776
2346	0.001020379248
2344	0.0004415258009
2342	-6.244375982E-6
2340	0.0005928651663
2338	0.000915904704
2336	-0.0002891865151
2334	0.0001065917313
2332	0.0003860488068
2330	0.0006252817111
2328	-0.0002212372492
2326	0.001007442246
2324	0.0008095069206
2322	0.0001173472701
2320	-0.0005565129686
2318	2.978837801E-5
2316	0.001047062455
2314	-5.754680024E-5
2312	0.0003179972409
2310	0.0001345876517
2308	0.0002843024849
2306	-0.00011808196
2304	0.0001274130045
2302	-0.0003833751252
2300	-0.0005981093273
2298	-0.0007875659503
2296	0.0002143126767
2294	0.0007538519567
2292	0.000769518665
2290	0.0005086318124
2288	0.000286264054
2286	0.0005088699982
2284	0.0001402102935
2282	0.0005389790749
2280	2.411505011E-5
2278	0.0005271742702
2276	0.00123142032
2274	0.0001978338114
2272	0.0002339840139
2270	0.0007039587363
2268	-0.0001600413088
2266	0.0001014283625
2264	0.0002710099798
2262	-0.0003998433822
2260	-0.001370091341
2258	-0.0007347583887
2256	-0.0006539626047
2254	0.0001199701728
2252	-0.0001850142726
2250	0.0001698599663
2248	0.0005087549798
2246	-0.0003820381535
2244	-0.0004765403864
2242	0.0008570417995
2240	3.753289639E-5
2238	-6.510357343E-5
2236	-0.0003827113542
2234	0.0003203811357
2232	0.0001099572255
2230	0.0002598946448
2228	0.0004039972846
2226	0.0002527348988
2224	0.0009048664942
2222	0.0006121752085
2220	0.0001017750401
2218	0.0003845839237
2216	0.0004258365661
2214	-0.0004018806503
2212	0.001034863293
2210	0.001161951339
2208	0.0003202616645
2206	0.0002761473588
2204	0.0006998710451
2202	0.001598468982
2200	0.0008064315771
2198	-0.0001525601838
2196	8.880499809E-5
2194	-1.600428914E-5
2192	0.0006973035051
2190	6.508424849E-5
2188	7.728260971E-5
2186	6.712770846E-5
2184	0.001095611369
2182	-0.00021106434
2180	5.644803241E-5
2178	0.0003097599838
2176	0.0009526081267
2174	0.0007447933895
2172	-0.0003984966024
2170	-4.060790889E-5
2168	0.0003127819218
2166	0.0003430120705
2164	0.0005811697338
2162	0.0009033649694
2160	-5.979819252E-5
2158	0.0008682290209
2156	0.0003834269592
2154	1.076278295E-6
2152	0.0003354284563
2150	0.001648121863
2148	0.001363265561
2146	0.0002786831756
2144	4.095722761E-5
2142	4.487944898E-5
2140	-0.0008878124645
2138	8.694772259E-5
2136	-0.0003519861493
2134	0.0001377081207
2132	0.0005323240766
2130	-5.083766882E-5
2128	0.0003855625109
2126	-0.0005902247503
2124	0.000329306582
2122	-0.0001956440829
2120	0.001069890917
2118	0.000187317215
2116	-0.00144073111
2114	0.0001541177044
2112	-0.0002030210162
2110	0.0008944422007
2108	-0.000851579709
2106	0.0001428318355
2104	0.0007320016157
2102	0.000438447838
2100	0.0006273696199
2098	0.0002447378647
2096	-0.0001957245549
2094	0.0003892680397
2092	-0.000348607573
2090	0.0005308390246
2088	-5.304504521E-5
2086	0.0006753223715
2084	-0.0005920093972
2082	-0.0001457289472
2080	-5.47263262E-5
2078	8.523745782E-5
2076	0.001364996424
2074	-0.0003472916433
2072	0.0003394237719
2070	-0.0004530883452
2068	0.0001404427749
2066	-0.0001490229915
2064	9.268014401E-5
2062	-0.0003986684897
2060	0.0009717547218
2058	-0.001081833267
2056	-0.0005871440517
2054	-0.0005377538037
2052	0.0004354671109
2050	-0.0007364120102
2048	-0.0003547206288
2046	-2.00589011E-6
2044	0.0002460904943
2042	-0.0004455858725
2040	-0.0004422876809
2038	-0.0001092692764
2036	0.001707418589
2034	0.001322171418
2032	-0.0005568673951
2030	-0.0005771073629
2028	-0.0002937401878
2026	-0.0002504365984
2024	-0.0007475021994
2022	-0.0001512259478
2020	-0.0001535433694
2018	-4.946341051E-6
2016	0.0002858972002
2014	0.0004395796568
2012	-9.723227413E-5
2010	0.0001989751763
2008	0.001268282067
2006	-0.0003494032717
2004	-0.001031837543
2002	-0.0005506360903
2000	4.413320858E-5
1998	0.0009342421545
1996	7.601334801E-5
1994	0.0005796247278
1992	-1.467253242E-5
1990	0.0007809964009
1988	9.750496247E-5
1986	-0.0002857318032
1984	-0.0008203096222
1982	-0.0003326617007
1980	0.000774132146
1978	-0.0008301002672
1976	-0.0001444218797
1974	0.0005303338403
1972	-0.0001918780908
1970	-0.0008323583752
1968	-0.0005298083415
1966	0.0001979703229
1964	0.0001834837312
1962	-0.0002867746516
1960	0.0003888519132
1958	-0.0002407400025
1956	-0.0001464588277
1954	-0.0004314776452
1952	-9.675163892E-5
1950	0.0001467072725
1948	-0.0002544443996
1946	-0.000678297889
1944	-9.550539835E-5
1942	-0.0004484395904
1940	0.0008234899724
1938	0.001889528008
1936	0.0008668877999
1934	-0.0008621765301
1932	-0.0006823226577
1930	-0.0002109784691
1928	-0.0009096931317
1926	-0.0009244310786
1924	-0.0005424524425
1922	-0.0004480995703
1920	0.0005352541921
1918	-0.0002547157346
1916	-0.0006279636873
1914	-0.000591006421
1912	5.575750038E-5
1910	0.0002920538245
1908	0.0002888685849
1906	-0.0007036136813
1904	8.191955203E-6
1902	0.0001544788684
1900	-0.0004809655366
1898	-0.001046361867
1896	-0.000519919442
1894	-0.0003463835164
1892	-0.001012300723
1890	-0.000210571583
1888	0.0003126258962
1886	0.0001339387381
1884	0.000157119357
1882	-0.0006641597138
1880	8.79615036E-5
1878	-0.0003685464326
1876	-0.0002753651061
1874	6.859928544E-5
1872	0.0004745925253
1870	0.0006594821461
1868	-0.0005874385824
1866	0.0005490964977
1864	-0.0001278356358
1862	0.0006568283425
1860	0.001085322816
1858	0.0009620775236
1856	0.001295630354
1854	0.001630853512
1852	0.002093870426
1850	0.002780816285
1848	0.004740118049
1846	0.004825576209
1844	0.005122357979
1842	0.007057114504
1840	0.008836722933
1838	0.01117603201
1836	0.01604128256
1834	0.02073233575
1832	0.0278259404
1830	0.03755660728
1828	0.05017458647
